"WORKING_CONDITION","EM_WORK_BALANCE_STARS/5","EM_CULTURE_VALUES_STARS/5","EM_CAREER_OPPORTUNITIES_STARS/5","EM_COMP_BENEFIT_STARS/5","EM_SENIOR_MANAGEMENT_STARS/5","EM_OVERALL_RATINGS/5"
"Former Employee",0.4,1,1,0.6,0.8,0.6
"Former Employee",1,1,1,1,1,1
"Current Employee",0.4,1,1,1,1,0.8
"Current Employee",0.6,1,0.6,1,0.6,0.8
"Current Employee",0.6,0.6,0.6,0.8,0.6,0.8
"Current Employee",1,1,1,1,1,1
"Current Employee",0.6,1,0.4,0.4,0.4,0.6
"Current Employee",0.2,0.2,0.4,0.6,0.2,0.2
"Current Employee",0.6,0.8,0.2,0.2,0.2,0.6
"Current Employee",0.4,0.4,0.4,0.4,0.2,0.4
"Current Employee",0.8,1,0.8,1,1,0.6
"Current Employee",0.4,0.4,0.8,0.6,0.2,0.6
"Current Employee",0.8,0.8,0.4,0.6,0.8,0.6
"Current Employee",0.6,0.8,1,0.8,0.6,0.8
"Current Employee",0.6,0.8,0.8,0.8,0.6,0.8
"Former Employee",0.8,0.8,0.6,0.8,0.6,0.6
"Current Employee",0.8,0.6,0.6,1,0.4,0.8
"Current Employee",1,1,1,0.8,1,1
"Current Employee",1,1,0.8,0.8,0.8,1
"Current Employee",0.6,0.2,1,0.8,0.4,0.2
"Current Employee",0.4,0.4,0.4,0.4,0.4,0.4
"Former Employee",1,0.6,0.6,0.4,0.4,0.6
"Current Employee",1,1,0.4,0.8,1,1
"Current Employee",1,0.8,0.6,1,0.8,0.8
"Current Employee",0.4,0.8,1,1,0.8,0.6
"Current Employee",0.8,0.4,0.6,0.4,0.4,0.6
"Former Employee",0.2,0.2,0.2,0.2,0.2,0.2
"Current Employee",0.6,1,0.8,0.8,0.6,0.8
"Current Employee",1,1,1,1,0.8,1
"Current Employee",0.8,1,1,0.8,0.8,1
"Current Employee",1,1,1,0.6,1,1
"Former Employee",0.4,0.4,0.4,0.8,0.4,0.4
"Former Employee",0.6,0.4,0.2,1,0.2,0.4
"Current Employee",0.4,0.4,0.8,0.8,0.6,0.4
"Former Employee",0.6,0.6,0.4,0.8,0.2,0.4
"Current Employee",1,1,1,1,1,1
"Current Employee",0.4,0.4,0.8,0.4,0.6,0.8
"Current Employee",0.4,0.4,0.8,0.4,0.6,0.8
"Former Employee",0.4,0.4,0.4,1,0.4,0.6
"Current Employee",0.4,0.4,0.2,0.6,0.4,0.2
"Former Employee",1,1,0.8,1,1,1
"Current Employee",0.8,1,1,1,0.6,1
"Former Employee",0.4,0.6,0.2,0.8,0.4,0.4
"Current Employee",0.2,0.4,1,1,1,0.2
"Current Employee",0.6,0.6,0.8,0.4,0.4,0.6
"Current Employee",0.6,1,1,0.6,0.8,0.8
"Current Employee",0.8,0.8,0.6,1,0.8,1
"Former Employee",0.6,1,1,1,0.8,1
"Former Employee",1,1,0.6,0.8,1,1
"Former Employee",0.8,0.4,0.4,0.6,0.4,0.4
"Current Employee",0.6,0.4,0.6,0.8,0.4,0.6
"Current Employee",1,0.2,0.2,1,1,0.2
"Current Employee",0.4,0.8,1,0.8,0.8,1
"Current Employee",0.8,0.8,1,0.8,0.6,0.8
"Current Employee",0.6,0.8,0.4,1,0.4,0.6
"Current Employee",1,1,1,1,1,1
"Former Employee",0.4,0.2,0.4,0.2,0.4,0.4
"Current Employee",0.4,0.2,0.2,0.2,0.2,0.2
"Former Employee",1,1,1,1,1,1
"Current Employee",0.8,0.8,1,0.8,0.6,0.8
"Former Employee",0.2,0.2,0.2,0.8,0.2,0.2
"Current Employee",0.4,0.2,0.2,0.4,1,0.2
"Current Employee",0.4,1,1,0.6,0.2,0.8
"Former Employee",1,1,1,1,1,1
"Former Employee",0.4,1,1,1,0.6,1
"Current Employee",0.8,0.8,0.8,0.6,0.4,0.6
"Current Employee",0.6,0.4,0.8,0.6,0.6,0.6
"Current Employee",1,1,1,1,1,1
"Current Employee",1,1,1,1,1,1
"Former Employee",0.2,0.6,0.4,0.4,0.6,0.4
"Current Employee",0.2,0.2,0.2,0.6,0.2,0.2
"Former Employee",0.2,0.2,0.2,0.8,0.2,0.2
"Current Employee",0.2,0.2,0.2,0.2,0.2,0.2
"Current Employee",0.8,1,1,1,1,1
"Current Employee",0.6,1,1,1,0.8,1
"Former Employee",0.2,1,0.2,0.4,0.8,0.4
"Former Employee",0.2,0.2,0.2,0.8,0.2,0.2
"Current Employee",0.6,0.6,0.8,0.8,1,1
"Current Employee",1,0.8,0.8,1,0.8,0.8
"Current Employee",0.8,1,1,1,0.8,1
"Current Employee",0.2,0.2,0.6,0.2,0.6,0.4
"Former Employee",0.4,0.8,0.8,1,0.2,0.4
"Current Employee",1,1,0.8,1,1,1
"Current Employee",0.8,0.8,1,0.2,0.8,0.8
"Former Employee",0.4,0.4,0.8,0.8,0.2,0.6
"Former Employee",0.2,0.2,0.2,0.2,0.2,0.2
"Current Employee",0.4,0.6,0.6,1,0.4,0.4
"Former Employee",0.2,0.2,0.2,0.2,0.2,0.2
"Current Employee",0.8,1,1,0.8,1,0.8
"Current Employee",0.8,0.4,0.4,0.4,0.2,0.4
"Current Employee",1,1,0.6,0.4,0.6,0.6
"Current Employee",0.6,1,0.4,0.6,0.2,0.8
"Former Employee",0.6,0.4,0.6,0.8,0.4,0.4
"Former Employee",0.2,0.2,0.2,0.6,0.2,0.2
"Former Employee",0.6,1,0.6,1,1,0.8
"Former Employee",0.6,0.8,0.8,1,0.6,0.8
"Former Employee",0.6,0.4,0.8,0.8,0.4,0.6
"Current Employee",0.8,1,0.6,1,0.6,0.6
"Current Employee",1,1,1,1,1,1
"Former Employee",0.6,0.4,0.8,1,0.2,0.4
"Current Employee",0.6,1,1,1,1,1
"Current Employee",0.6,0.2,0.4,1,0.4,0.6
"Current Employee",1,0.6,1,1,0.4,1
"Current Employee",0.2,0.6,0.6,0.2,0.4,0.2
"Former Employee",0.6,0.6,0.8,0.6,0.4,0.8
"Current Employee",0.8,0.8,1,1,0.8,0.8
"Current Employee",0.6,0.6,0.6,0.6,0.6,0.6
"Current Employee",0.4,0.8,1,1,0.4,0.6
"Current Employee",1,1,1,1,1,1
"Former Employee",1,1,1,1,1,1
"Current Employee",1,0.6,0.8,1,0.6,1
"Current Employee",0.8,1,1,0.8,0.8,1
"Former Employee",0.2,0.2,0.4,0.4,0.2,0.2
"Current Employee",0.8,0.8,0.2,0.8,0.4,0.8
"Current Employee",0.8,0.8,1,0.8,0.8,1
"Former Employee",0.4,0.4,0.6,1,0.4,0.8
"Current Employee",0.6,0.2,0.4,1,0.2,0.6
"Current Employee",0.8,1,0.8,0.6,0.4,0.8
"Former Employee",0.6,0.6,1,1,0.6,1
"Current Employee",0.6,0.8,0.8,0.8,0.6,0.8
"Current Employee",0.6,0.8,1,1,1,0.6
"Current Employee",0.4,0.4,0.4,0.4,0.4,1
"Current Employee",0.8,0.6,0.8,0.6,0.8,0.8
"Former Employee",0.6,0.6,0.6,0.6,0.6,0.6
"Current Employee",0.8,1,1,0.6,0.6,1
"Current Employee",0.4,1,1,0.8,0.8,1
"Current Employee",0.4,0.6,0.4,0.6,0.4,0.4
"Current Employee",0.2,0.6,0.2,0.4,0.2,0.4
"Former Employee",1,1,1,1,1,1
"Former Employee",1,1,0.4,0.8,0.6,0.2
"Current Employee",1,1,0.8,0.8,1,0.8
"Current Employee",0.6,0.8,0.6,1,0.6,0.6
"Current Employee",0.8,1,1,0.8,1,1
"Current Employee",0.6,0.8,1,0.6,1,1
"Current Employee",0.8,0.8,1,1,0.8,1
"Former Employee",0.2,0.2,0.6,1,0.2,0.2
"Current Employee",0.8,1,1,1,0.4,1
"Current Employee",0.6,0.8,1,1,0.6,0.8
"Former Employee",0.4,0.6,1,1,0.4,0.6
"Former Employee",0.4,0.4,0.8,0.8,0.2,0.6
"Current Employee",0.8,0.8,0.8,0.8,0.8,0.8
"Current Employee",0.6,0.8,0.8,0.8,0.6,0.8
"Current Employee",1,1,1,1,1,1
"Current Employee",1,0.2,0.4,0.8,0.4,0.8
"Former Employee",0.6,0.6,0.6,0.6,0.6,0.8
"Current Employee",0.6,0.8,0.8,0.4,0.6,0.6
"Current Employee",1,1,0.8,0.8,0.8,1
"Current Employee",1,1,1,1,1,1
"Former Employee",0.2,0.2,0.2,0.6,0.2,0.4
"Current Employee",1,0.4,0.6,0.6,0.4,0.6
"Current Employee",0.2,0.2,0.2,0.2,0.2,0.2
"Current Employee",0.8,0.6,0.6,0.6,0.6,0.4
"Current Employee",0.4,1,0.6,0.8,1,0.8
"Current Employee",0.6,0.2,0.6,0.8,0.6,0.8
"Current Employee",0.6,0.8,0.4,0.6,0.4,0.6
"Former Employee",0.4,0.6,0.4,0.4,0.4,0.6
"Former Employee",1,0.8,0.8,1,0.8,0.4
"Former Employee",0.6,0.6,0.8,1,0.6,0.8
"Current Employee",0.8,0.6,0.6,0.6,0.6,0.8
"Former Employee",0.2,0.2,0.4,0.8,0.8,0.4
"Current Employee",0.6,0.8,0.4,0.2,0.6,0.2
"Current Employee",0.8,0.8,1,1,1,1
"Former Employee",0.2,1,1,0.8,1,0.8
"Former Employee",0.8,0.6,1,1,0.6,1
"Current Employee",0.8,1,1,1,1,1
"Former Employee",0.6,1,0.8,1,0.6,0.8
"Current Employee",0.2,0.6,0.6,0.6,0.6,0.8
"Current Employee",0.2,0.6,0.6,0.6,0.6,0.8
"Current Employee",0.2,0.6,1,0.8,0.8,0.8
"Current Employee",0.6,0.8,0.6,1,0.8,1
"Former Employee",0.4,0.6,0.8,0.6,0.4,0.4
"Former Employee",0.2,0.2,0.2,0.2,0.2,0.2
"Current Employee",1,0.2,0.4,0.6,0.2,0.6
"Current Employee",0.2,1,1,0.8,0.6,1
"Current Employee",0.6,1,1,0.8,0.8,1
"Former Employee",0.4,0.8,0.4,0.8,0.8,0.4
"Current Employee",0.2,0.8,0.8,0.4,0.4,0.4
"Former Employee",0.2,0.2,0.6,0.2,0.4,0.2
"Current Employee",0.4,0.2,0.2,0.2,0.2,0.2
"Former Employee",0.4,0.2,0.2,0.2,0.2,0.2
"Former Employee",0.4,0.4,0.2,0.6,0.2,0.4
"Former Employee",0.2,0.8,0.6,1,0.8,0.4
"Current Employee",0.4,0.4,0.2,1,0.4,0.2
"Current Employee",0.6,0.6,0.6,0.6,0.6,0.6
"Former Employee",0.4,0.2,0.6,0.4,0.2,0.6
"Current Employee",0.2,0.4,0.4,0.6,0.2,0.4
"Current Employee",0.4,0.8,0.6,0.8,0.8,0.8
"Former Employee",0.4,0.4,0.4,1,0.4,0.8
"Current Employee",0.2,0.4,0.6,0.6,0.6,0.6
"Current Employee",1,1,0.8,0.8,1,1
"Former Employee",0.8,0.8,0.8,1,0.8,1
"Former Employee",0.4,0.6,0.6,1,0.6,0.8
"Current Employee",1,0.8,1,1,0.8,1
"Current Employee",0.4,1,1,0.8,1,1
"Former Employee",1,1,1,1,1,1
"Current Employee",1,1,1,1,1,1
"Current Employee",1,1,1,1,1,1
"Former Employee",0.8,0.8,1,1,0.4,1
"Current Employee",0.4,0.2,0.4,1,0.4,0.6
"Former Employee",0.4,0.4,0.8,0.8,0.6,1
"Former Employee",1,1,0.6,1,0.8,0.8
"Current Employee",1,1,1,1,0.8,1
"Current Employee",0.8,1,1,1,0.8,1
"Current Employee",1,0.8,0.8,0.8,0.8,0.8
"Current Employee",0.8,1,1,1,0.8,1
"Current Employee",1,1,1,1,1,1
"Current Employee",0.6,1,0.4,0.6,0.6,0.6
"Former Employee",0.2,0.2,0.2,0.8,0.2,0.2
"Current Employee",1,1,1,1,0.8,1
"Former Employee",0.4,0.4,0.6,0.6,0.6,0.8
"Former Employee",0.4,0.4,0.2,1,0.2,0.2
"Former Employee",1,1,1,1,0.8,1
"Current Employee",0.8,1,0.8,0.6,1,1
"Current Employee",0.8,1,1,0.6,0.8,1
"Current Employee",0.2,0.6,1,1,0.6,0.6
"Current Employee",0.2,0.2,0.2,0.2,0.2,0.2
"Current Employee",0.4,0.2,0.4,0.6,0.2,0.2
"Former Employee",1,1,1,1,1,1
"Current Employee",1,1,1,1,1,1
"Former Employee",0.8,0.8,1,0.8,0.8,0.8
"Current Employee",1,1,1,0.6,1,1
"Current Employee",1,1,1,1,1,1
"Former Employee",0.4,1,1,1,0.6,0.8
"Former Employee",1,0.8,1,0.8,1,1
"Current Employee",0.6,0.4,0.4,0.8,0.8,0.4
"Current Employee",0.8,1,0.8,0.8,0.8,1
"Former Employee",0.2,0.4,0.6,0.6,0.2,0.2
"Current Employee",1,1,1,1,0.8,1
"Current Employee",0.6,1,1,0.6,0.4,1
"Former Employee",0.8,0.8,1,1,1,1
"Former Employee",0.4,0.8,0.8,1,0.4,1
"Former Employee",0.4,0.6,0.4,1,0.6,0.6
"Former Employee",1,1,0.8,1,0.6,1
"Current Employee",0.8,0.8,1,0.8,0.8,0.6
"Current Employee",1,0.8,0.6,1,0.8,0.8
"Current Employee",0.8,1,1,1,1,0.8
"Current Employee",1,0.6,0.2,1,0.6,1
"Current Employee",1,1,1,1,1,1
"Former Employee",0.8,1,0.8,0.8,1,0.8
"Former Employee",0.4,0.8,1,0.8,1,1
"Former Employee",0.8,1,0.6,1,1,0.8
"Current Employee",0.8,1,1,1,1,0.8
"Current Employee",0.6,0.8,0.6,0.4,0.6,0.6
"Former Employee",0.6,1,0.8,1,0.4,0.8
"Current Employee",0.6,1,1,1,1,1
"Current Employee",1,1,0.8,1,1,1
"Current Employee",1,1,1,1,1,1
"Former Employee",0.4,1,1,0.8,1,1
"Current Employee",0.6,0.6,0.2,1,0.2,0.2
"Former Employee",0.8,0.8,0.6,0.8,0.4,0.6
"Current Employee",0.6,1,0.8,0.2,0.6,0.6
"Current Employee",1,1,1,1,1,1
"Current Employee",1,0.4,1,1,0.8,0.6
"Former Employee",1,1,1,1,1,1
"Former Employee",1,1,1,1,1,1
"Former Employee",0.6,1,0.6,1,0.8,1
"Current Employee",0.6,0.8,1,1,1,1
"Current Employee",0.2,0.8,0.4,1,0.2,0.4
"Current Employee",1,1,0.8,0.8,1,1
"Former Employee",0.8,1,1,0.6,1,1
"Former Employee",0.6,0.8,1,1,0.8,1
"Current Employee",0.8,1,0.8,0.6,0.8,1
"Current Employee",0.8,0.8,1,1,0.8,1
"Former Employee",0.8,1,0.6,1,0.6,1
"Former Employee",1,1,1,1,1,0.8
"Current Employee",1,0.8,0.6,0.8,0.8,0.8
"Current Employee",0.8,0.8,0.8,1,0.6,0.8
"Current Employee",1,1,0.6,0.6,1,0.8
"Current Employee",1,1,0.8,1,0.8,1
"Former Employee",1,1,1,1,1,0.8
"Current Employee",0.6,0.4,0.4,0.8,0.4,0.4
"Former Employee",0.4,0.8,0.2,0.2,0.2,0.4
"Current Employee",1,1,1,1,1,1
"Current Employee",0.8,0.8,0.4,1,0.8,0.8
"Former Employee",0.6,1,1,1,0.8,1
"Former Employee",1,0.2,0.2,0.4,0.2,0.6
"Current Employee",1,1,1,1,1,1
"Former Employee",1,0.2,0.8,0.8,0.2,0.6
"Current Employee",0.8,0.8,0.6,1,0.6,1
"Current Employee",0.8,1,1,1,0.8,1
"Current Employee",0.8,0.4,0.4,0.8,0.4,0.4
"Former Employee",1,1,0.8,1,1,1
"Former Employee",0.6,0.8,0.8,0.8,0.8,1
"Former Employee",0.2,0.2,0.2,0.2,0.2,0.2
"Current Employee",0.8,1,1,0.8,1,1
"Former Employee",1,1,1,1,1,1
"Former Employee",0.2,0.2,0.2,0.2,0.2,0.4
"Current Employee",0.8,0.4,0.4,1,0.6,0.6
"Current Employee",0.8,1,0.2,0.6,0.6,0.6
"Current Employee",0.8,0.8,0.6,1,0.8,1
"Current Employee",1,1,1,1,1,1
"Current Employee",1,1,1,0.8,1,1
"Current Employee",1,1,1,1,1,1
"Current Employee",1,1,1,1,1,1
"Current Employee",1,0.8,0.6,0.8,0.6,0.8
"Current Employee",0.2,0.2,0.6,0.6,0.2,0.2
"Former Employee",0.8,1,1,0.8,1,1
"Former Employee",0.6,0.8,1,1,0.8,0.8
"Current Employee",1,0.4,1,1,0.4,0.8
"Current Employee",0.4,0.2,0.4,0.6,0.4,0.2
"Current Employee",1,1,1,1,1,1
"Former Employee",0.4,0.4,0.4,1,0.6,0.4
"Current Employee",1,0.8,0.4,1,0.8,0.8
"Current Employee",0.8,1,1,0.8,0.8,0.8
"Former Employee",0.2,0.2,0.2,1,0.2,0.2
"Current Employee",0.2,1,0.2,1,1,1
"Former Employee",0.2,0.8,1,1,0.8,1
"Former Employee",1,1,1,1,1,1
"Current Employee",0.6,0.8,0.8,0.8,0.6,0.8
"Current Employee",1,1,1,1,0.8,1
"Current Employee",0.2,0.2,0.2,0.2,0.2,0.2
"Former Employee",0.2,0.6,0.4,0.8,1,0.4
"Former Employee",0.8,0.8,0.6,0.8,0.8,0.8
"Former Employee",0.2,0.2,0.2,0.2,0.2,0.2
"Former Employee",0.4,0.8,0.4,1,0.2,0.6
"Current Employee",0.8,1,0.6,0.8,0.6,0.8
"Former Employee",0.6,0.8,0.8,0.8,0.6,0.8
"Current Employee",0.8,1,0.6,0.8,0.8,0.8
"Former Employee",0.8,0.8,0.8,1,0.6,0.8
"Current Employee",1,1,1,1,1,1
"Former Employee",0.8,1,1,1,1,1
"Former Employee",0.8,0.8,0.8,1,0.4,0.8
"Current Employee",1,1,0.6,0.6,0.6,0.6
"Current Employee",1,1,1,1,0.8,1
"Former Employee",0.6,0.6,0.8,1,0.6,0.8
"Former Employee",0.4,0.2,0.2,0.8,0.4,0.4
"Current Employee",0.6,0.8,0.8,0.6,0.6,0.8
"Current Employee",0.2,0.4,0.8,1,0.6,0.6
"Current Employee",0.2,0.2,0.2,0.2,0.2,0.2
"Current Employee",0.2,0.2,0.2,0.6,0.2,0.2
"Current Employee",0.2,0.2,0.4,0.2,0.6,0.4
"Current Employee",0.8,0.6,0.4,0.8,0.2,0.4
"Current Employee",0.2,0.2,0.2,0.2,0.2,0.2
"Former Employee",0.4,0.4,0.6,0.6,0.6,0.4
"Former Employee",0.4,0.4,0.6,0.6,0.6,0.4
"Current Employee",1,1,1,1,1,1
"Current Employee",0.8,0.6,0.2,0.2,0.4,0.6
"Former Employee",0.8,0.2,0.2,0.6,0.2,0.2
"Current Employee",0.8,1,1,0.6,0.6,1
"Former Employee",0.2,0.2,0.2,0.2,0.2,0.2
"Current Employee",0.2,0.2,0.2,0.2,0.2,0.4
"Current Employee",0.2,0.2,0.2,0.6,0.2,0.2
"Current Employee",0.2,0.2,0.2,0.8,0.2,0.2
"Former Employee",0.6,0.6,0.2,0.6,0.2,0.2
"Current Employee",0.2,0.2,0.2,0.8,0.8,0.2
"Current Employee",0.6,1,0.8,1,0.4,0.8
"Current Employee",0.8,1,0.6,1,0.8,1
"Current Employee",0.8,1,0.8,1,0.8,0.8
"Former Employee",0.6,0.2,0.8,0.8,0.6,0.6
"Current Employee",1,0.6,0.6,0.6,0.6,0.6
"Current Employee",0.6,0.6,0.6,0.6,0.2,0.4
"Current Employee",0.4,0.6,1,1,0.4,1
"Current Employee",0.2,0.2,0.2,0.4,0.2,0.2
"Current Employee",0.4,0.4,0.4,0.4,0.4,0.4
"Current Employee",0.2,0.2,0.2,0.2,0.6,0.4
"Former Employee",0.6,0.8,0.6,0.8,0.8,0.8
"Current Employee",0.6,0.6,0.6,0.6,0.6,0.6
"Current Employee",0.6,0.6,0.4,0.8,0.4,0.6
"Current Employee",0.4,1,0.8,0.8,0.6,0.6
"Former Employee",0.6,0.6,0.8,0.8,0.6,0.8
"Current Employee",0.6,0.6,1,0.8,0.6,0.8
"Current Employee",0.2,0.6,0.6,0.4,0.2,0.6
"Current Employee",0.2,0.2,0.4,0.6,0.2,0.6
"Current Employee",0.8,1,1,1,0.8,1
"Current Employee",0.8,0.8,1,0.8,0.8,1
"Former Employee",0.2,0.6,1,1,0.4,0.4
"Former Employee",0.2,0.6,0.2,0.4,0.6,0.6
"Former Employee",0.2,0.2,0.2,0.6,0.2,0.2
"Former Employee",0.4,0.2,0.2,0.2,0.4,0.2
"Current Employee",0.4,1,1,0.8,0.8,0.8
"Current Employee",0.6,0.6,0.6,0.6,0.2,0.4
"Current Employee",0.4,0.8,0.4,0.8,0.2,0.6
"Current Employee",1,1,1,1,1,1
"Current Employee",0.6,1,0.8,1,0.4,0.2
"Current Employee",0.2,0.2,0.8,0.8,0.2,0.2
"Former Employee",0.6,0.6,0.2,0.8,0.2,0.4
"Current Employee",0.4,0.6,0.8,0.8,0.6,0.8
"Former Employee",0.2,0.2,0.4,0.4,0.2,0.4
"Current Employee",0.2,0.4,0.6,0.8,0.2,0.2
"Former Employee",0.2,0.4,0.6,0.6,0.4,0.4
"Former Employee",0.4,0.2,0.4,0.6,0.2,0.8
"Current Employee",0.6,0.8,1,1,1,0.8
"Current Employee",1,1,0.8,0.6,1,0.8
"Current Employee",0.8,0.8,1,0.8,0.8,0.8
"Current Employee",0.8,0.6,0.8,1,1,0.8
"Current Employee",0.2,1,1,0.8,1,0.2
"Current Employee",0.2,0.2,0.8,0.2,0.2,0.2
"Current Employee",0.2,0.4,0.6,1,0.6,0.6
"Former Employee",0.8,0.2,1,1,0.2,0.6
"Former Employee",0.6,0.6,0.6,0.6,0.6,0.6
"Current Employee",0.2,0.2,0.2,0.6,0.2,0.2
"Current Employee",0.2,0.6,1,0.6,0.6,1
"Former Employee",0.8,0.8,1,0.8,1,1
"Former Employee",1,0.6,0.4,0.6,0.6,0.4
"Current Employee",0.6,0.8,1,1,0.8,0.8
"Current Employee",0.4,1,0.8,1,0.2,0.6
"Current Employee",0.4,0.8,0.6,1,0.4,0.6
"Former Employee",0.6,0.6,0.6,0.8,0.6,0.6
"Former Employee",0.2,0.2,0.2,0.2,0.2,0.2
"Current Employee",1,1,0.8,1,0.8,1
"Current Employee",0.4,0.4,0.4,0.8,0.4,0.4
"Current Employee",0.2,0.2,0.2,0.2,0.2,0.2
"Current Employee",0.4,0.8,0.6,0.6,0.6,0.6
"Current Employee",0.8,0.6,0.4,0.6,0.6,0.6
"Current Employee",0.4,0.2,0.4,0.4,0.4,0.6
"Former Employee",0.2,0.2,0.6,0.4,0.4,0.4
